Tweet Id,User Name,Nickname,Tweet content,tag1,tag2,tag3
721277714737573892,BORIS QUARANTINI,BORISIBIZAMIAMI,_ Italians Do It Better In coachella _ #coachella #party #loveit #losangeles #californiaÉ https://t.co/qVwC8K4PSq,#california,#party,#losangeles
721275701513596928,Aizhan LighG,AizhanLighG,#coachella #coachella2016 here we go #calvinklein #party @ Coachella Valley Music &amp; Arts Festival https://t.co/xWQN5nILGW,#party,#calvinklein,
721274994077102080,Postcard,postcard_it,Coachella _ #DiscoverYourWorld #coachella #music #festival #fun #spirit #hip #californiaÉ https://t.co/oWiIF3tk9J,#california,#festival,#hip
721273988643713025,Lauren McClusky,lolokmc,Got to watch T. Swift and #borns at the same time _ #coachella #weekendone #indio @ Coachella https://t.co/zUidPqoHv3,#indio,#weekendone,
721270673780404225,D¥M|N|QUÛ,itsdominique,tryna be famous .... #kanye #coachella #weekendone thanks @xtinahli for this moment @ Coachella https://t.co/8GYVCNDJte,#kanye,#weekendone,
721269987697004544,melissa herrera,melrose84,Coachella Day 1 #coachella #ferriswheel #music #art #vegan #work #travel #explore @ Coachella https://t.co/UvmlzgdCoc,#vegan,#travel,#work
721269186782072832,Flashback,djflashback,@elliegoulding #frontrow at coachella #coachella #coachellie #elliegoulding #aftertaste #2016 @É https://t.co/8Hm8ZTIaWl,#frontrow,#elliegoulding,
721256115015704576,megan kilpatrick,w1ldfl0wer,Goodnight day 1 Coachella #coachella2016weekend1 #girlsweekend #california #supportlivemusicÉ https://t.co/uKm2wU7tmU,#california,#supportlivemusic,
721255245528113152,Lu’sa Li—n,LuisaLion,Coachella Day 1 with my girls @linakottutz &amp; jessau _ #coachella #indio #palmsprings @ CoachellaÉ https://t.co/RGPrqpjlZT,#palmsprings,#indio,
721254362924888064,Chiara Biasi,chiarabiasi,#COACHELLA _ #coachella2016 #lalaland #indio #cali @ Coachella https://t.co/tfCuSXw9yC,#indio,#cali,
721251701014065152,Jonathan Viola,spicnspan0,#coachella 2016 weekend #1 - Day 1 - #LcdSoundsystem crushed it!É https://t.co/FOaJl1ZQdQ,#lcdcoundsystem,#1,
721250859179446272,Gab Faeldan,readyysetgab,Coachella day 1 #ootd ____ #coachella #love #ootn #instafashion #fashiongram @ Coachella ValleyÉ https://t.co/UyHB5qcMqx,#love,#instafashion,
721250548679360512,Tim Geddes,tgeddes,Underworld coachellamusicfestival so good.....#music #coachella #oldschool #rave #saharaÉ https://t.co/G5Y3NilMcF,#music,#oldschool,
721246387531313152,Samantha Taylor,thetaylorsauce,About tonight... #nylon #midnightgarden #party #coachella #day1 #samanthaonthewestcoast _____ @É https://t.co/wVcH4CjtHW,#party,#midnightgarden,
721244469169930240,Ralph Remy,Ralphremy,Palms Spring music fest weekend! #coachella2016 #music #LA #workflowÉ https://t.co/p6thZZC2OZ,#workflow,#music,
721239159889928192,Samuel Fournier,Sambam2828,#coachella2016 #coachella #california #vip #sunshine #picoftheday @ V.I.P Area - CoachellaÉ https://t.co/XDXzbpjkF9,#california,#vip,
721233721328824320,Samuel Fournier,Sambam2828,___ #vip  #coachella2016  #coachella #california @ V.I.P Area - Coachella Valley Music Festival https://t.co/AdRJmYv088,#california,#vip,
